Dataset	Alignment	AliFilter	BMGE	ClipKIT	Gblocks	Noisy	trimAl
Dataset1	55	141,76,0,0	137,76,0,4	141,73,3,0	137,76,0,4	101,70,6,40	141,76,0,0
Dataset1	56	130,16,0,3	128,16,0,5	133,10,6,0	102,16,0,31	107,9,7,26	126,16,0,7
Dataset1	57	122,12,0,0	122,12,0,0	122,8,4,0	119,12,0,3	95,1,11,27	121,12,0,1
Dataset1	58	120,70,0,36	117,70,0,39	156,31,39,0	116,70,0,40	118,33,37,38	114,70,0,42
Dataset1	59	118,118,0,0	117,118,0,1	118,116,2,0	109,118,0,9	85,112,6,33	114,118,0,4
Dataset1	6	161,14,0,1	161,14,0,1	162,9,5,0	159,14,0,3	142,11,3,20	162,12,2,0
Dataset1	60	91,49,0,5	89,49,0,7	96,30,19,0	83,49,0,13	62,48,1,34	82,49,0,14
Dataset1	61	603,56,0,1	600,56,0,4	604,46,10,0	566,56,0,38	486,51,5,118	596,56,0,8
Dataset1	62	402,477,0,1	395,477,0,8	403,428,49,0	333,477,0,70	373,413,64,30	397,477,0,6
Dataset1	63	534,491,0,2	494,491,0,42	536,268,223,0	350,491,0,186	468,408,83,68	472,491,0,64
Dataset1	64	306,300,1,5	259,301,0,52	311,107,194,0	205,301,0,106	274,174,127,37	232,298,3,79
Dataset1	65	268,43,0,1	258,43,0,11	269,22,21,0	240,43,0,29	232,27,16,37	262,43,0,7
Dataset1	66	453,97,0,15	418,97,0,50	468,58,39,0	360,97,0,108	407,56,41,61	384,97,0,84
Dataset1	67	562,503,0,15	501,503,0,76	577,167,336,0	372,503,0,205	524,280,223,53	416,500,3,161
Dataset1	68	323,354,0,1	306,354,0,18	324,313,41,0	262,354,0,62	254,334,20,70	297,354,0,27
Dataset1	69	520,164,0,5	493,164,0,32	525,74,90,0	438,164,0,87	495,97,67,30	506,164,0,19
Dataset1	7	1082,509,0,64	908,509,0,238	1146,93,416,0	762,509,0,384	994,120,389,152	845,509,0,301
Dataset1	70	688,417,0,15	671,417,0,32	703,317,100,0	524,417,0,179	629,306,111,74	651,417,0,52
Dataset1	71	394,88,0,0	394,88,0,0	393,88,0,1	374,88,0,20	341,69,19,53	393,88,0,1
Dataset1	72	213,125,0,1	185,125,0,29	214,107,18,0	165,125,0,49	167,84,41,47	173,125,0,41
Dataset1	73	327,0,0,16	322,0,0,21	329,0,0,14	307,0,0,36	281,0,0,62	323,0,0,20
Dataset1	74	238,52,0,3	232,52,0,9	241,23,29,0	215,52,0,26	175,42,10,66	231,52,0,10
Dataset1	75	451,296,0,27	345,296,0,133	478,129,167,0	213,296,0,265	451,166,130,27	324,296,0,154
Dataset1	76	329,74,0,4	317,74,0,16	333,57,17,0	254,74,0,79	288,42,32,45	295,74,0,38
Dataset1	77	220,7,0,2	218,7,0,4	222,3,4,0	213,7,0,9	102,7,0,120	215,7,0,7
Dataset1	78	219,174,0,96	219,174,0,96	315,80,94,0	199,174,0,116	286,164,10,29	218,174,0,97
Dataset1	79	400,77,0,1	392,77,0,9	401,38,39,0	372,77,0,29	316,51,26,85	399,77,0,2
